Expand #  Testing Accuracy    Training Accuracy
1         58.416              58.812
2         60.820              62.111
3         62.801              64.939
4         63.791              67.295
5         65.064              69.463
6         66.337              71.536
7         70.156              73.233
8         71.429              74.741
9         71.570              76.249
10        72.702              77.663
11        73.975              78.888
12        74.257              79.925
13        74.399              80.867
14        74.682              81.810
15        74.823              82.752
16        75.389              83.600
17        75.389              84.354
18        76.096              85.108
19        76.521              85.862
20        77.228              86.428
21        77.652              86.993
22        77.793              87.559
23        77.793              88.030
24        78.076              88.407
25        77.793              88.784
26        78.076              89.161
27        78.501              89.538
28        78.359              89.915
29        78.784              90.292
30        78.784              90.669
31        79.774              90.952
32        80.057              91.235
33        80.057              91.517
34        80.057              91.800
35        80.057              92.083
36        80.198              92.366
37        80.339              92.554
38        80.339              92.743
39        80.198              92.931
40        80.905              93.120
41        81.047              93.308
42        81.330              93.497
43        81.330              93.685
44        81.330              93.874
45        81.471              94.062
46        81.612              94.251
47        81.612              94.439
48        81.612              94.628
49        81.754              94.816
50        82.037              95.005
51        82.037              95.193
52        82.744              95.382
53        82.744              95.570
54        83.027              95.759
55        83.027              95.853
56        82.744              95.947
57        82.885              96.041
58        83.310              96.136
59        83.451              96.230
60        83.451              96.324
61        83.451              96.418
62        83.451              96.513
63        83.451              96.607
64        83.451              96.701
65        83.734              96.795
66        84.441              96.890
67        84.441              96.984
68        84.441              97.078
69        85.007              97.172
70        85.007              97.267
71        85.007              97.361
72        85.007              97.455
73        84.866              97.549
74        84.866              97.644
75        84.866              97.738
76        84.866              97.832
77        84.866              97.926
78        85.007              98.021
79        84.866              98.115
80        84.866              98.209
81        85.149              98.303
82        85.431              98.398
83        85.431              98.492
84        85.431              98.586
85        85.431              98.680
86        85.714              98.775
87        85.714              98.869
88        85.714              98.963
89        85.856              99.057
90        85.856              99.057
91        85.856              99.057
92        85.856              99.152
93        85.573              99.246
94        85.573              99.246
95        85.573              99.246
96        85.573              99.246
97        85.573              99.246
98        85.573              99.246
99        85.573              99.246
100       85.573              99.246
