Expand #  Testing accuracy    Training Accuracy
1         73.833              76.814
2         77.369              79.453
3         81.471              82.092
4         80.764              82.092
5         80.764              82.281
6         80.905              83.883
7         80.905              83.883
8         79.774              83.977
9         80.198              85.108
10        80.198              85.862
11        80.198              85.957
12        80.198              85.957
13        80.198              86.051
14        80.198              86.051
15        79.915              86.239
16        80.339              86.428
17        80.481              86.805
18        80.481              86.805
19        80.339              87.370
20        80.339              87.370
21        79.774              87.559
22        80.198              87.842
23        80.057              88.030
24        80.057              88.124
25        80.057              88.219
26        80.057              88.219
27        82.603              89.632
28        82.178              89.915
29        82.037              90.198
30        81.895              90.292
31        81.330              91.235
32        81.612              91.517
33        81.754              92.177
34        81.754              92.177
35        79.774              92.648
36        79.632              92.837
37        79.632              92.931
38        81.330              93.025
39        79.632              93.308
40        80.622              93.497
41        80.622              93.591
42        81.188              93.874
43        81.188              93.968
44        81.188              94.156
45        81.330              94.722
46        81.471              94.816
47        81.471              94.910
48        81.330              95.005
49        81.471              95.382
50        81.612              95.759
51        81.754              96.041
52        81.612              96.324
53        81.612              96.607
54        81.612              96.890
55        81.612              97.172
56        81.612              97.361
57        81.612              97.549
58        81.612              97.738
59        81.754              97.926
60        81.754              98.115
61        81.612              98.209
62        81.612              98.398
63        81.612              98.586
64        81.612              98.586
65        81.471              98.680
66        81.471              98.775
67        81.471              98.775
68        81.471              98.963
69        81.471              98.963
70        81.471              99.057
71        81.471              99.152
72        81.471              99.246
73        81.471              99.246
74        81.471              99.246
75        81.471              99.246
76        81.471              99.246
77        81.330              99.434
78        80.622              99.529
79        80.622              99.717
80        80.481              99.811
81        80.622              99.906
82        80.622              100.000
83        80.622              100.000
84        80.622              100.000
85        80.622              100.000
86        80.622              100.000
87        80.622              100.000
88        80.622              100.000
89        80.622              100.000
90        80.622              100.000
91        80.622              100.000
92        80.622              100.000
93        80.622              100.000
94        80.622              100.000
95        80.622              100.000
96        80.622              100.000
97        80.622              100.000
98        80.622              100.000
99        80.622              100.000
100       80.622              100.000
